item1,item2,value1,value2,value3,value4,value5,value6,value7,value8
"113年 2月",連江縣,29,14,11,3,1,0,0,13.79
"113年 2月",金門縣,29,7,15,6,1,0,0,24.14
"113年 2月",嘉義市,29,4,23,2,0,0,0,6.9
"113年 2月",新竹市,29,12,16,1,0,0,0,3.45
"113年 2月",基隆市,29,17,11,1,0,0,0,3.45
"113年 2月",澎湖縣,29,20,9,0,0,0,0,0
"113年 2月",花蓮縣,29,24,5,0,0,0,0,0
"113年 2月",臺東縣,29,26,3,0,0,0,0,0
"113年 2月",屏東縣,87,33,43,11,0,0,0,12.64
"113年 2月",嘉義縣,58,11,40,7,0,0,0,12.07
"113年 2月",雲林縣,58,15,36,7,0,0,0,12.07
"113年 2月",南投縣,58,10,44,4,0,0,0,6.9
"113年 2月",彰化縣,87,34,44,9,0,0,0,10.34
"113年 2月",苗栗縣,58,38,19,1,0,0,0,1.72
"113年 2月",新竹縣,58,25,31,2,0,0,0,3.45
"113年 2月",宜蘭縣,58,50,8,0,0,0,0,0
"113年 2月",高雄市,232,26,190,16,0,0,0,6.9
"113年 2月",臺南市,116,22,85,9,0,0,0,7.76
"113年 2月",臺中市,145,45,97,3,0,0,0,2.07
"113年 2月",桃園市,116,51,61,4,0,0,0,3.45
"113年 2月",臺北市,145,67,73,5,0,0,0,3.45
"113年 2月",新北市,261,138,114,9,0,0,0,3.45
"113年 2月",總計,1769,689,978,100,2,0,0,5.77
"113年 1月",連江縣,31,7,12,8,4,0,0,38.71
"113年 1月",金門縣,31,2,11,15,3,0,0,58.06
"113年 1月",嘉義市,31,2,19,10,0,0,0,32.26
"113年 1月",新竹市,31,7,23,1,0,0,0,3.23
"113年 1月",基隆市,31,11,20,0,0,0,0,0
"113年 1月",澎湖縣,31,10,21,0,0,0,0,0
"113年 1月",花蓮縣,31,25,6,0,0,0,0,0
"113年 1月",臺東縣,31,26,5,0,0,0,0,0
"113年 1月",屏東縣,93,27,42,24,0,0,0,25.81
"113年 1月",嘉義縣,62,4,43,15,0,0,0,24.19
"113年 1月",雲林縣,62,5,40,17,0,0,0,27.42
"113年 1月",南投縣,62,7,48,7,0,0,0,11.29
"113年 1月",彰化縣,93,15,62,16,0,0,0,17.2
"113年 1月",苗栗縣,62,28,34,0,0,0,0,0
"113年 1月",新竹縣,62,15,46,1,0,0,0,1.61
"113年 1月",宜蘭縣,62,50,12,0,0,0,0,0
"113年 1月",高雄市,248,7,156,84,1,0,0,34.27
"113年 1月",臺南市,124,9,79,36,0,0,0,29.03
"113年 1月",臺中市,155,27,127,1,0,0,0,0.65
"113年 1月",桃園市,124,33,91,0,0,0,0,0
"113年 1月",臺北市,155,33,121,1,0,0,0,0.65
"113年 1月",新北市,279,84,194,1,0,0,0,0.36
"113年 1月",總計,1891,434,1212,237,8,0,0,12.96
"112年 12月",連江縣,31,7,23,0,1,0,0,3.23
"112年 12月",金門縣,31,1,24,6,0,0,0,19.35
"112年 12月",嘉義市,31,9,20,2,0,0,0,6.45
"112年 12月",新竹市,31,14,16,1,0,0,0,3.23
"112年 12月",基隆市,31,19,12,0,0,0,0,0
"112年 12月",澎湖縣,31,22,8,1,0,0,0,3.23
"112年 12月",花蓮縣,31,30,1,0,0,0,0,0
"112年 12月",臺東縣,31,31,0,0,0,0,0,0
"112年 12月",屏東縣,93,32,50,11,0,0,0,11.83
"112年 12月",嘉義縣,62,20,35,7,0,0,0,11.29
"112年 12月",雲林縣,62,20,36,6,0,0,0,9.68
"112年 12月",南投縣,62,20,41,1,0,0,0,1.61
"112年 12月",彰化縣,62,35,22,5,0,0,0,8.06
"112年 12月",苗栗縣,62,48,14,0,0,0,0,0
"112年 12月",新竹縣,62,36,25,1,0,0,0,1.61
"112年 12月",宜蘭縣,62,58,4,0,0,0,0,0
"112年 12月",高雄市,248,21,197,29,1,0,0,12.1
"112年 12月",臺南市,124,29,84,11,0,0,0,8.87
"112年 12月",臺中市,155,87,66,2,0,0,0,1.29
"112年 12月",桃園市,124,56,67,1,0,0,0,0.81
"112年 12月",臺北市,155,65,90,0,0,0,0,0
"112年 12月",新北市,279,142,136,1,0,0,0,0.36
"112年 12月",總計,1860,802,971,85,2,0,0,4.68
"112年 11月",連江縣,30,11,15,4,0,0,0,13.33
"112年 11月",金門縣,30,6,16,6,2,0,0,26.67
"112年 11月",嘉義市,30,2,20,8,0,0,0,26.67
"112年 11月",新竹市,30,15,15,0,0,0,0,0
"112年 11月",基隆市,30,21,8,1,0,0,0,3.33
"112年 11月",澎湖縣,30,16,11,3,0,0,0,10
"112年 11月",花蓮縣,30,25,5,0,0,0,0,0
"112年 11月",臺東縣,30,27,3,0,0,0,0,0
"112年 11月",屏東縣,90,26,33,26,5,0,0,34.44
"112年 11月",嘉義縣,60,8,46,6,0,0,0,10
"112年 11月",雲林縣,60,8,44,8,0,0,0,13.33
"112年 11月",南投縣,60,5,45,10,0,0,0,16.67
"112年 11月",彰化縣,60,13,43,4,0,0,0,6.67
"112年 11月",苗栗縣,60,29,29,2,0,0,0,3.33
"112年 11月",新竹縣,60,29,29,2,0,0,0,3.33
"112年 11月",宜蘭縣,60,49,11,0,0,0,0,0
"112年 11月",高雄市,240,4,167,62,7,0,0,28.75
"112年 11月",臺南市,120,11,96,13,0,0,0,10.83
"112年 11月",臺中市,150,37,99,13,1,0,0,9.33
"112年 11月",桃園市,120,59,60,1,0,0,0,0.83
